"IID" "fromBP" "toBP"
"MIB033" 3817 3735
"MIB034" 3712 3606
"MIB035" 3845 3745
"MIB036" 3883 3791
"MIB037" 3842 3744
"MIB039" 3810 3726
"MIB040" 3881 3777
"MIB042" 3818 3734
"MIB044" 3887 3793
"MIB045" 3935 3853
"MIB046" 3913 3831
"MIB048" 3880 3770
"MIB052" 3818 3736
"MIB054" 3881 3789
"MIB057" 3898 3788
"MIB058" 3808 3718
"MIB059" 3828 3734
"MIB062" 3914 3814
"MIB063" 3868 3758
"MIB066" 3855 3747
"MIB071" 3839 3741
"MIB083" 4259 4093
"MIS001" 3945 3871
"MIS002" 3919 3847
"OHR002" 4513 4441
"PDA002" 4107 4007
"PDA005" 4216 4112
"PMI001" 4151 4041
"PNL002" 4746 4560
"PRE001" 4718 4532
"PRU002" 4504 4436
"RDV001" 4683 4501
"ROU006" 4087 3913
"TIS002" 4504 4436
"TOU001" 4777 4647
"TRM003" 4712 4528
"TRM006" 4735 4553
"TUC007" 6142 6018
"VLI004" 6219 6063
"VLI007" 4798 4680
"VLI008" 4818 4700
"VLI010" 4524 4442
"VLI011" 4782 4654
"VLI016" 4393 4297
"VLI017" 4388 4284
"VLI020" 4498 4394
"VLI024" 4208 4092
"VLI029" 4208 4092
"VLI039" 4087 3913
"VLI045" 4030 3856
"VLI050" 3855 3737
"VLI061" 4087 3913
"VLI067" 4782 4654
"VLI071" 4780 4650
"VLI076" 4946 4866
"VLI092" 4783 4655
"VPR001" 4818 4694
"Kou01.SG" 4423 4077
"Kou03.SG" 4423 4077
"Log02.SG" 4423 4077
"Log04.SG" 4423 4077
"Mik15.SG" 4423 4077
"Pta08.SG" 4423 4077
"hem005.SG" 5263 5093
"vbj001.SG" 4766 4584
"vbj004.SG" 4786 4618
"vbj006.SG" 4942 4854
"vbj012.SG" 4988 4878
"vbj013.SG" 4844 4712
"ajv28.minus.SG" 4876 4782
"hem005.minus.SG" 5263 5093
"vbj001.minus.SG" 4766 4584
"vbj004.minus.SG" 4786 4618
"vbj006.minus.SG" 4942 4854
"vbj012.minus.SG" 4988 4878
"vbj013.minus.SG" 4844 4712
"vbj018.minus.SG" 4908 4828
"BOL003.SG" 4482 4346
"HAL001.SG" 4568 4440
"HAN002.SG" 4703 4507
"HAN004.SG" 4585 4437
"IVA001.SG" 4723 4525
"NAU001.SG" 4608 4444
"NAU002.SG" 4596 4436
"NIK008AB.SG" 4577 4439
"VOR004.SG" 4773 4623
"RISE1281.SG" 4394 4058
"2H10.SG" 5239 5091
"2H11.SG" 5237 5087
"2H17.SG" 5242 5072
"GBVPK.SG" 4382 4290
"GBVPL.SG" 4504 4444
"GBVPO.SG" 3636 3560
"ROUQEE.SG" 5136 4958
"ROUQV.SG" 5234 5084
"TORTE.SG" 4646 4502
"TORTF.SG" 3893 3829
"AITI_66" 3813 3709
"AMP_1" 4403 4309
"HUGO_168" 4217 4117
"HUGO_180Sk1" 4355 4223
"HUGO_190" 4155 4051
"OBKR_50" 3978 3892
"POST_35" 3970 3894
"POST_99" 4015 3909
"UNTA58_68Sk2" 4391 4303
"WEHR_1415adult" 3908 3836
"WEHR_1586" 3881 3789
